subj,month,Consonant,n
794,10,pb,20
794,10,td,8
794,10,kg,1
794,10,m,1
794,10,n,6
294,10,pb,76
294,10,td,2
294,10,kg,64
294,10,m,0
294,10,n,0
126,10,pb,3
126,10,td,18
126,10,kg,115
126,10,m,14
126,10,n,2
255,10,pb,0
255,10,td,2
255,10,kg,0
255,10,m,0
255,10,n,1
465,10,pb,2
465,10,td,18
465,10,kg,0
465,10,m,0
465,10,n,2
357,10,pb,0
357,10,td,34
357,10,kg,1
357,10,m,3
357,10,n,0
521,10,pb,15
521,10,td,83
521,10,kg,3
521,10,m,2
521,10,n,101
274,10,pb,0
274,10,td,0
274,10,kg,0
274,10,m,0
274,10,n,0
828,10,pb,7
828,10,td,9
828,10,kg,11
828,10,m,1
828,10,n,0
309,10,pb,0
309,10,td,2
309,10,kg,0
309,10,m,0
309,10,n,5
749,10,pb,6
749,10,td,6
749,10,kg,8
749,10,m,0
749,10,n,0
623,10,pb,0
623,10,td,2
623,10,kg,0
623,10,m,2
623,10,n,0
279,10,pb,18
279,10,td,36
279,10,kg,6
279,10,m,18
279,10,n,11
626,10,pb,112
626,10,td,29
626,10,kg,5
626,10,m,2
626,10,n,0
664,10,pb,4
664,10,td,0
664,10,kg,2
664,10,m,0
664,10,n,1
129,10,pb,27
129,10,td,2
129,10,kg,5
129,10,m,4
129,10,n,3
860,10,pb,67
860,10,td,2
860,10,kg,52
860,10,m,0
860,10,n,0
378,10,pb,134
378,10,td,9
378,10,kg,2
378,10,m,20
378,10,n,0
109,10,pb,51
109,10,td,19
109,10,kg,16
109,10,m,0
109,10,n,0
342,10,pb,46
342,10,td,270
342,10,kg,91
342,10,m,1
342,10,n,4
268,10,pb,27
268,10,td,13
268,10,kg,32
268,10,m,5
268,10,n,1
172,10,pb,5
172,10,td,0
172,10,kg,0
172,10,m,1
172,10,n,0
189,10,pb,13
189,10,td,25
189,10,kg,21
189,10,m,7
189,10,n,12
986,10,pb,0
986,10,td,0
986,10,kg,0
986,10,m,0
986,10,n,6
861,10,pb,9
861,10,td,31
861,10,kg,5
861,10,m,4
861,10,n,4
625,10,pb,0
625,10,td,0
625,10,kg,0
625,10,m,0
625,10,n,0
926,10,pb,48
926,10,td,6
926,10,kg,0
926,10,m,3
926,10,n,0
944,10,pb,2
944,10,td,4
944,10,kg,0
944,10,m,0
944,10,n,0
515,10,pb,49
515,10,td,27
515,10,kg,100
515,10,m,1
515,10,n,0
375,10,pb,7
375,10,td,36
375,10,kg,15
375,10,m,0
375,10,n,0
738,10,pb,20
738,10,td,6
738,10,kg,1
738,10,m,2
738,10,n,0
575,10,pb,5
575,10,td,95
575,10,kg,11
575,10,m,6
575,10,n,26
639,10,pb,3
639,10,td,15
639,10,kg,21
639,10,m,0
639,10,n,6
168,10,pb,3
168,10,td,27
168,10,kg,39
168,10,m,0
168,10,n,0
737,10,pb,42
737,10,td,82
737,10,kg,2
737,10,m,4
737,10,n,97
518,10,pb,40
518,10,td,5
518,10,kg,19
518,10,m,35
518,10,n,0
151,10,pb,0
151,10,td,0
151,10,kg,0
151,10,m,0
151,10,n,0
893,10,pb,21
893,10,td,11
893,10,kg,7
893,10,m,0
893,10,n,14
424,10,pb,133
424,10,td,18
424,10,kg,9
424,10,m,15
424,10,n,1
351,10,pb,70
351,10,td,39
351,10,kg,59
351,10,m,0
351,10,n,0
950,10,pb,20
950,10,td,8
950,10,kg,0
950,10,m,6
950,10,n,2
563,10,pb,17
563,10,td,45
563,10,kg,9
563,10,m,21
563,10,n,0
288,10,pb,2
288,10,td,13
288,10,kg,23
288,10,m,2
288,10,n,0
220,10,pb,0
220,10,td,1
220,10,kg,9
220,10,m,0
220,10,n,0
794,11,pb,90
794,11,td,5
794,11,kg,15
794,11,m,4
794,11,n,0
357,11,pb,0
357,11,td,1
357,11,kg,0
357,11,m,14
357,11,n,0
279,11,pb,21
279,11,td,39
279,11,kg,12
279,11,m,0
279,11,n,4
129,11,pb,25
129,11,td,1
129,11,kg,0
129,11,m,1
129,11,n,0
268,11,pb,39
268,11,td,21
268,11,kg,31
268,11,m,4
268,11,n,15
189,11,pb,5
189,11,td,9
189,11,kg,4
189,11,m,2
189,11,n,2
861,11,pb,3
861,11,td,100
861,11,kg,9
861,11,m,0
861,11,n,0
926,11,pb,20
926,11,td,103
926,11,kg,56
926,11,m,18
926,11,n,1
375,11,pb,98
375,11,td,3
375,11,kg,6
375,11,m,0
375,11,n,0
738,11,pb,10
738,11,td,70
738,11,kg,0
738,11,m,0
738,11,n,1
639,11,pb,8
639,11,td,7
639,11,kg,6
639,11,m,0
639,11,n,0
168,11,pb,18
168,11,td,16
168,11,kg,14
168,11,m,0
168,11,n,1
518,11,pb,54
518,11,td,22
518,11,kg,7
518,11,m,1
518,11,n,0
893,11,pb,60
893,11,td,14
893,11,kg,12
893,11,m,51
893,11,n,1
950,11,pb,3
950,11,td,0
950,11,kg,2
950,11,m,0
950,11,n,0
563,11,pb,435
563,11,td,167
563,11,kg,8
563,11,m,0
563,11,n,0
288,11,pb,0
288,11,td,5
288,11,kg,1
288,11,m,0
288,11,n,0
